date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,treshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-05-13-12:59:48,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,50000,random,5,8,512,0.115254,0.0230508,0.0228494,0.0010194,1,0.0266411,68,0,40,dynamic
2026-05-13-12:59:49,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,50000,random,5,8,512,0.448475,0.0896949,0.0899575,0.00206098,1,0.0976762,2028,0,40,dynamic
2026-05-13-12:59:50,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,none,50000,random,5,8,512,0.998346,0.199669,0.199812,0.00173143,1,0.19924,8542,0,40,dynamic
2026-05-13-12:59:53,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.2,none,50000,random,5,8,512,2.30398,0.460797,0.458786,0.00520373,1,0.459607,32957,0,40,dynamic
2026-05-13-12:59:53,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.01,none,50000,random,5,8,512,0.10191,0.020382,0.0203548,9.62787e-05,1,0.0205071,75,0,40,dynamic
2026-05-13-12:59:54,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.05,none,50000,random,5,8,512,0.479858,0.0959717,0.0957524,0.000565113,1,0.0959213,3222,0,40,dynamic
2026-05-13-12:59:55,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.1,none,50000,random,5,8,512,1.05249,0.210497,0.209806,0.00154162,1,0.209528,12689,0,40,dynamic
2026-05-13-12:59:58,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.2,none,50000,random,5,8,512,2.76035,0.55207,0.55163,0.00443739,1,0.547874,46717,0,40,dynamic
2026-05-13-12:59:59,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,50000,random,5,8,512,0.0915635,0.0183127,0.0183949,0.000678149,1,0.0212702,68,0,40,dynamic
2026-05-13-13:00:00,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,50000,random,5,8,512,0.677615,0.135523,0.134389,0.00271081,1,0.147806,2028,0,40,dynamic
2026-05-13-13:00:02,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,polar,50000,random,5,8,512,1.59867,0.319734,0.318927,0.00464003,1,0.329989,8542,0,40,dynamic
2026-05-13-13:00:06,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.2,polar,50000,random,5,8,512,3.53884,0.707768,0.704354,0.00572709,1,0.716666,32957,0,40,dynamic
2026-05-13-13:00:06,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.01,polar,50000,random,5,8,512,0.0989463,0.0197893,0.0197081,0.000152946,1,0.01971,75,0,40,dynamic
2026-05-13-13:00:07,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.05,polar,50000,random,5,8,512,0.804212,0.160842,0.160578,0.00124417,1,0.160809,3222,0,40,dynamic
2026-05-13-13:00:09,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.1,polar,50000,random,5,8,512,1.91205,0.382409,0.382709,0.00486657,1,0.37838,12689,0,40,dynamic
2026-05-13-13:00:14,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.2,polar,50000,random,5,8,512,4.36432,0.872864,0.870319,0.00565893,1,0.872605,46717,0,40,dynamic
2026-05-13-13:00:16,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,cartesian,50000,random,5,8,512,0.0717705,0.0143541,0.0143531,0.000100794,1,0.0172644,68,0,40,dynamic
2026-05-13-13:00:17,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,cartesian,50000,random,5,8,512,0.787603,0.157521,0.157777,0.00374222,1,0.168643,2028,0,40,dynamic
2026-05-13-13:00:19,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,cartesian,50000,random,5,8,512,1.93586,0.387171,0.386234,0.00609398,1,0.399663,8542,0,40,dynamic
2026-05-13-13:00:25,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.2,cartesian,50000,random,5,8,512,4.84848,0.969696,0.96713,0.0105966,1,0.984947,32957,0,40,dynamic
2026-05-13-13:00:25,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.01,cartesian,50000,random,5,8,512,0.0681217,0.0136243,0.0136249,0.000121204,1,0.0140635,75,0,40,dynamic
2026-05-13-13:00:26,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.05,cartesian,50000,random,5,8,512,0.666049,0.13321,0.132967,0.00129848,1,0.133728,3222,0,40,dynamic
2026-05-13-13:00:28,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.1,cartesian,50000,random,5,8,512,1.64027,0.328053,0.326942,0.00345071,1,0.32859,12689,0,40,dynamic
2026-05-13-13:00:33,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.2,cartesian,50000,random,5,8,512,4.49481,0.898962,0.898415,0.0071509,1,0.896603,46717,0,40,dynamic
