date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,treshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-05-13-11:42:22,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,none,50000,random,5,16,512,0.411047,0.0822094,0.0816731,0.00170343,1,0.0995426,2042,0,40,dynamic
2026-05-13-11:42:23,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,none,50000,random,5,16,512,0.922504,0.184501,0.18445,0.000230974,1,0.185609,8208,0,40,dynamic
2026-05-13-11:42:26,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,none,50000,random,5,16,512,2.34814,0.469627,0.469586,0.000975494,1,0.468113,32497,0,40,dynamic
2026-05-13-11:42:31,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,none,50000,random,5,16,512,4.43491,0.886983,0.887029,0.0012759,1,0.886832,71265,0,40,dynamic
2026-05-13-11:42:32,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.5,none,50000,random,5,16,512,0.432347,0.0864693,0.0864259,8.16532e-05,1,0.0868077,2741,0,40,dynamic
2026-05-13-11:42:33,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,1,none,50000,random,5,16,512,1.00902,0.201804,0.201683,0.000340901,1,0.201543,11107,0,40,dynamic
2026-05-13-11:42:36,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,2,none,50000,random,5,16,512,2.66099,0.532199,0.532262,0.000470213,1,0.529711,43345,0,40,dynamic
2026-05-13-11:42:43,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,3,none,50000,random,5,16,512,5.40199,1.0804,1.08052,0.00198075,1,1.07804,94600,0,40,dynamic
2026-05-13-11:42:43,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,polar,50000,random,5,16,512,0.631789,0.126358,0.124463,0.00661038,1,0.156379,2042,0,40,dynamic
2026-05-13-11:42:45,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,polar,50000,random,5,16,512,1.4629,0.292581,0.291977,0.00149386,1,0.299564,8208,0,40,dynamic
2026-05-13-11:42:50,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,polar,50000,random,5,16,512,3.68674,0.737347,0.737324,0.000805444,1,0.742352,32497,0,40,dynamic
2026-05-13-11:42:58,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,polar,50000,random,5,16,512,6.65851,1.3317,1.33208,0.00211989,1,1.33192,71265,0,40,dynamic
2026-05-13-11:42:59,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.5,polar,50000,random,5,16,512,0.744014,0.148803,0.148866,0.000269677,1,0.148879,2741,0,40,dynamic
2026-05-13-11:43:01,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,1,polar,50000,random,5,16,512,1.84514,0.369028,0.369052,0.000546786,1,0.368451,11107,0,40,dynamic
2026-05-13-11:43:06,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,2,polar,50000,random,5,16,512,4.71923,0.943847,0.944375,0.000827929,1,0.942935,43345,0,40,dynamic
2026-05-13-11:43:17,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,3,polar,50000,random,5,16,512,8.72738,1.74548,1.74634,0.00277205,1,1.7431,94600,0,40,dynamic
2026-05-13-11:43:18,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,cartesian,50000,random,5,16,512,0.772874,0.154575,0.154199,0.00632552,1,0.174053,2042,0,40,dynamic
2026-05-13-11:43:21,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,cartesian,50000,random,5,16,512,1.78129,0.356258,0.355024,0.00847355,1,0.383976,8208,0,40,dynamic
2026-05-13-11:43:26,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,cartesian,50000,random,5,16,512,4.33549,0.867098,0.867148,0.00536405,1,0.888594,32497,0,40,dynamic
2026-05-13-11:43:35,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,cartesian,50000,random,5,16,512,7.70462,1.54092,1.542,0.0028494,1,1.54621,71265,0,40,dynamic
2026-05-13-11:43:36,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.5,cartesian,50000,random,5,16,512,0.554539,0.110908,0.111062,0.000401836,1,0.111655,2741,0,40,dynamic
2026-05-13-11:43:37,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,1,cartesian,50000,random,5,16,512,1.32774,0.265547,0.265743,0.000929707,1,0.268642,11107,0,40,dynamic
2026-05-13-11:43:41,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,2,cartesian,50000,random,5,16,512,3.31223,0.662445,0.661749,0.00139188,1,0.664754,43345,0,40,dynamic
2026-05-13-11:43:49,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,3,cartesian,50000,random,5,16,512,6.49618,1.29924,1.29967,0.001633,1,1.29925,94599,0,40,dynamic
2026-05-13-11:43:53,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,50000,random,5,16,512,0.40331,0.080662,0.0801825,0.00149972,1,0.0977612,2051,0,40,dynamic
2026-05-13-11:43:55,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,50000,random,5,16,512,0.903373,0.180675,0.180624,0.000440803,1,0.181038,8239,0,40,dynamic
2026-05-13-11:43:57,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,50000,random,5,16,512,2.2964,0.45928,0.4593,0.000950226,1,0.456815,32588,0,40,dynamic
2026-05-13-11:44:03,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,3,none,50000,random,5,16,512,4.41473,0.882946,0.882868,0.00121182,1,0.881854,71426,0,40,dynamic
2026-05-13-11:44:03,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,0.5,none,50000,random,5,16,512,0.422668,0.0845336,0.0845393,0.000239683,1,0.084899,2752,0,40,dynamic
2026-05-13-11:44:04,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,1,none,50000,random,5,16,512,0.981653,0.196331,0.196378,0.000199556,1,0.196136,11141,0,40,dynamic
2026-05-13-11:44:07,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,2,none,50000,random,5,16,512,2.61172,0.522343,0.522711,0.000898023,1,0.52269,43463,0,40,dynamic
2026-05-13-11:44:14,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,3,none,50000,random,5,16,512,5.43897,1.08779,1.08744,0.00138879,1,1.08622,94803,0,40,dynamic
2026-05-13-11:44:15,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,polar,50000,random,5,16,512,0.623987,0.124797,0.122937,0.00622357,1,0.154586,2051,0,40,dynamic
2026-05-13-11:44:17,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,polar,50000,random,5,16,512,1.44704,0.289408,0.28933,0.000933474,1,0.295601,8239,0,40,dynamic
2026-05-13-11:44:21,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,polar,50000,random,5,16,512,3.63331,0.726662,0.726233,0.00169949,1,0.729522,32588,0,40,dynamic
2026-05-13-11:44:29,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,3,polar,50000,random,5,16,512,6.67131,1.33426,1.33345,0.00226297,1,1.33572,71426,0,40,dynamic
2026-05-13-11:44:30,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,0.5,polar,50000,random,5,16,512,0.735885,0.147177,0.147167,0.000307092,1,0.147408,2752,0,40,dynamic
2026-05-13-11:44:32,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,1,polar,50000,random,5,16,512,1.81787,0.363574,0.363505,0.000633703,1,0.36335,11141,0,40,dynamic
2026-05-13-11:44:38,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,2,polar,50000,random,5,16,512,4.67851,0.935702,0.935233,0.00189842,1,0.933875,43463,0,40,dynamic
2026-05-13-11:44:48,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,3,polar,50000,random,5,16,512,8.81145,1.76229,1.76182,0.00350571,1,1.76331,94803,0,40,dynamic
2026-05-13-11:44:50,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,cartesian,50000,random,5,16,512,0.768867,0.153773,0.153078,0.0060924,1,0.174059,2051,0,40,dynamic
2026-05-13-11:44:52,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,cartesian,50000,random,5,16,512,1.77491,0.354982,0.354567,0.00775732,1,0.382015,8239,0,40,dynamic
2026-05-13-11:44:57,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,cartesian,50000,random,5,16,512,4.31889,0.863778,0.864788,0.00528817,1,0.884539,32588,0,40,dynamic
2026-05-13-11:45:06,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,3,cartesian,50000,random,5,16,512,7.77041,1.55408,1.55315,0.00227082,1,1.56042,71426,0,40,dynamic
2026-05-13-11:45:07,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,0.5,cartesian,50000,random,5,16,512,0.552839,0.110568,0.110669,0.000299701,1,0.111679,2752,0,40,dynamic
2026-05-13-11:45:09,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,1,cartesian,50000,random,5,16,512,1.32333,0.264666,0.264763,0.000677056,1,0.266262,11141,0,40,dynamic
2026-05-13-11:45:13,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,2,cartesian,50000,random,5,16,512,3.33482,0.666964,0.667067,0.00144119,1,0.669009,43463,0,40,dynamic
2026-05-13-11:45:21,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,3,cartesian,50000,random,5,16,512,6.64668,1.32934,1.3283,0.0028884,1,1.33213,94803,0,40,dynamic
