leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
374302,cube,cartesian,3,0.488311,9,35,40,0,16,128
374303,cube,cartesian,3,0.488311,17,17,44,1,16,128
374227,cube,cartesian,3,0.488311,29,29,34,0,16,128
374228,cube,cartesian,3,0.488311,27,27,35,0,16,128
374165,cube,cartesian,3,1.95324,0,0,18,0,16,128
374162,cube,cartesian,3,1.95324,49,49,117,0,16,128
434003,cube,cartesian,3,7.81297,0,0,85,0,16,128
433980,cube,cartesian,3,7.81297,0,0,101,0,16,128
433458,cube,cartesian,3,0.488311,17,17,37,0,16,128
433459,cube,cartesian,3,0.488311,4,11,26,0,16,128
433450,cube,cartesian,3,0.488311,19,19,40,0,16,128
433451,cube,cartesian,3,0.488311,19,19,33,0,16,128
433335,cube,cartesian,3,0.488311,10,10,25,1,16,128
433338,cube,cartesian,3,0.488311,11,26,26,0,16,128
433327,cube,cartesian,3,0.488311,10,10,31,1,16,128
433334,cube,cartesian,3,0.488311,6,6,23,1,16,128
433315,cube,cartesian,3,0.488311,5,12,19,0,16,128
433318,cube,cartesian,3,0.488311,16,16,29,0,16,128
433322,cube,cartesian,3,0.488311,9,9,30,1,16,128
433295,cube,cartesian,3,0.488311,15,15,25,0,16,128
433298,cube,cartesian,3,0.488311,14,14,25,0,16,128
433165,cube,cartesian,3,0.488311,18,18,26,0,16,128
433168,cube,cartesian,3,0.488311,15,15,20,0,16,128
433144,cube,cartesian,3,0.488311,18,18,22,1,16,128
433145,cube,cartesian,3,0.488311,12,13,17,0,16,128
433146,cube,cartesian,3,0.488311,12,13,23,0,16,128
433132,cube,cartesian,3,0.488311,23,23,27,1,16,128
433133,cube,cartesian,3,0.488311,22,22,25,1,16,128
433121,cube,cartesian,3,0.488311,17,17,20,1,16,128
433123,cube,cartesian,3,0.488311,20,24,24,0,16,128
433012,cube,cartesian,3,0.488311,21,21,38,0,16,128
433013,cube,cartesian,3,0.488311,18,18,35,0,16,128
433005,cube,cartesian,3,0.488311,11,14,26,0,16,128
360569,cube,cartesian,3,15.6259,0,0,44,0,16,128
104346,cube,cartesian,3,3.90648,48,52,106,0,16,128
104347,cube,cartesian,3,3.90648,30,43,63,0,16,128
103994,cube,cartesian,3,1.95324,20,23,39,0,16,128
103995,cube,cartesian,3,1.95324,23,38,79,0,16,128
103996,cube,cartesian,3,1.95324,47,49,72,0,16,128
103997,cube,cartesian,3,1.95324,46,48,68,0,16,128
103974,cube,cartesian,3,1.95324,44,58,83,0,16,128
103975,cube,cartesian,3,1.95324,29,35,50,0,16,128
103976,cube,cartesian,3,1.95324,15,30,59,0,16,128
103977,cube,cartesian,3,1.95324,22,32,47,0,16,128
103930,cube,cartesian,3,1.95324,15,32,55,0,16,128
103931,cube,cartesian,3,1.95324,7,19,40,0,16,128
103932,cube,cartesian,3,1.95324,25,35,61,0,16,128
103933,cube,cartesian,3,1.95324,34,37,53,0,16,128
103911,cube,cartesian,3,1.95324,26,33,59,0,16,128
103912,cube,cartesian,3,1.95324,15,29,34,0,16,128
103913,cube,cartesian,3,1.95324,7,31,40,0,16,128
103735,cube,cartesian,3,3.90648,22,22,34,0,16,128
103736,cube,cartesian,3,3.90648,0,0,31,0,16,128
101175,cube,cartesian,3,1.95324,63,66,97,0,16,128
101176,cube,cartesian,3,1.95324,41,45,68,0,16,128
101181,cube,cartesian,3,1.95324,12,15,28,0,16,128
101182,cube,cartesian,3,1.95324,18,21,33,0,16,128
101171,cube,cartesian,3,1.95324,40,46,81,0,16,128
101172,cube,cartesian,3,1.95324,26,36,47,0,16,128
101173,cube,cartesian,3,1.95324,25,44,64,0,16,128
101174,cube,cartesian,3,1.95324,42,45,84,0,16,128
101132,cube,cartesian,3,1.95324,11,20,27,0,16,128
101133,cube,cartesian,3,1.95324,13,28,33,0,16,128
101134,cube,cartesian,3,1.95324,19,19,22,0,16,128
101135,cube,cartesian,3,1.95324,40,44,47,0,16,128
101108,cube,cartesian,3,1.95324,31,38,69,0,16,128
101111,cube,cartesian,3,1.95324,50,52,72,0,16,128
101112,cube,cartesian,3,1.95324,28,42,50,0,16,128
101115,cube,cartesian,3,1.95324,23,33,42,0,16,128
101100,cube,cartesian,3,1.95324,28,39,39,0,16,128
101103,cube,cartesian,3,1.95324,11,18,18,0,16,128
101104,cube,cartesian,3,1.95324,30,33,35,0,16,128
101107,cube,cartesian,3,1.95324,51,51,55,0,16,128
101080,cube,cartesian,3,1.95324,8,19,19,0,16,128
101081,cube,cartesian,3,1.95324,47,47,53,0,16,128
101082,cube,cartesian,3,1.95324,17,41,48,0,16,128
101083,cube,cartesian,3,1.95324,6,38,38,0,16,128
101018,cube,cartesian,3,3.90648,31,43,68,0,16,128
101020,cube,cartesian,3,1.95324,20,20,20,0,16,128
101025,cube,cartesian,3,1.95324,41,41,42,0,16,128
101026,cube,cartesian,3,1.95324,15,25,25,0,16,128
1044,cube,cartesian,3,1.95324,21,57,57,0,16,128
1048,cube,cartesian,3,1.95324,0,2,44,0,16,128
1051,cube,cartesian,3,1.95324,19,41,124,0,16,128
952,cube,cartesian,3,3.90648,0,2,116,0,16,128
1029,cube,cartesian,3,1.95324,0,3,44,0,16,128
1030,cube,cartesian,3,1.95324,1,8,57,0,16,128
1034,cube,cartesian,3,1.95324,11,21,21,0,16,128
948,cube,cartesian,3,3.90648,0,0,88,0,16,128
949,cube,cartesian,3,3.90648,0,0,28,0,16,128
661,cube,cartesian,3,0.976621,16,55,113,0,16,128
662,cube,cartesian,3,0.976621,20,20,51,0,16,128
649,cube,cartesian,3,0.976621,51,51,93,0,16,128
639,cube,cartesian,3,0.488311,31,31,31,0,16,128
640,cube,cartesian,3,0.488311,33,33,33,0,16,128
630,cube,cartesian,3,0.488311,6,17,18,0,16,128
631,cube,cartesian,3,0.488311,12,17,17,0,16,128
632,cube,cartesian,3,0.488311,27,27,27,0,16,128
414,cube,cartesian,3,1.95324,20,20,27,0,16,128
415,cube,cartesian,3,1.95324,44,44,70,0,16,128
416,cube,cartesian,3,1.95324,32,32,79,0,16,128
419,cube,cartesian,3,0.976621,53,53,96,0,16,128
422,cube,cartesian,3,0.976621,18,21,29,0,16,128
423,cube,cartesian,3,0.976621,3,15,27,0,16,128
408,cube,cartesian,3,0.976621,9,17,17,0,16,128
393,cube,cartesian,3,0.976621,67,67,76,1,16,128
394,cube,cartesian,3,0.488311,14,14,27,1,16,128
400,cube,cartesian,3,0.488311,12,12,24,1,16,128
377,cube,cartesian,3,0.976621,32,32,91,1,16,128
378,cube,cartesian,3,0.976621,38,111,111,0,16,128
370,cube,cartesian,3,1.95324,0,0,92,0,16,128
