leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
189389,cube,cartesian,5,1.95312,18,21,71,0,16,128
189363,cube,cartesian,5,1.95312,49,49,59,0,16,128
189366,cube,cartesian,5,1.95312,17,17,35,0,16,128
189367,cube,cartesian,5,0.976562,21,21,21,1,16,128
189374,cube,cartesian,5,0.976562,29,29,31,1,16,128
189356,cube,cartesian,5,0.976562,30,30,32,1,16,128
189361,cube,cartesian,5,0.976562,34,34,39,1,16,128
189333,cube,cartesian,5,1.95312,19,119,121,1,16,128
189351,cube,cartesian,5,1.95312,57,57,84,0,16,128
189352,cube,cartesian,5,1.95312,98,98,99,1,16,128
189339,cube,cartesian,5,0.976562,3,7,29,0,16,128
189340,cube,cartesian,5,0.976562,0,7,20,0,16,128
189234,cube,cartesian,5,1.95312,21,21,36,1,16,128
189244,cube,cartesian,5,1.95312,55,58,59,0,16,128
189245,cube,cartesian,5,1.95312,0,21,29,0,16,128
189246,cube,cartesian,5,1.95312,21,44,65,0,16,128
189247,cube,cartesian,5,1.95312,17,17,46,2,16,128
189240,cube,cartesian,5,0.976562,4,4,21,0,16,128
189241,cube,cartesian,5,0.976562,19,19,19,0,16,128
188741,cube,cartesian,5,3.90625,31,47,92,0,16,128
188828,cube,cartesian,5,1.95312,26,28,30,0,16,128
375864,cube,cartesian,5,3.90625,2,72,119,0,16,128
375869,cube,cartesian,5,1.95312,0,30,30,0,16,128
375701,cube,cartesian,5,3.90625,7,54,54,0,16,128
375696,cube,cartesian,5,1.95312,0,0,72,0,16,128
375685,cube,cartesian,5,1.95312,17,17,17,0,16,128
375688,cube,cartesian,5,1.95312,0,0,31,0,16,128
375689,cube,cartesian,5,1.95312,0,0,17,0,16,128
375587,cube,cartesian,5,3.90625,0,124,124,0,16,128
375588,cube,cartesian,5,3.90625,0,89,89,0,16,128
375554,cube,cartesian,5,3.90625,22,22,72,0,16,128
375565,cube,cartesian,5,3.90625,51,51,51,0,16,128
375548,cube,cartesian,5,1.95312,0,12,39,0,16,128
375532,cube,cartesian,5,1.95312,26,26,33,0,16,128
375533,cube,cartesian,5,1.95312,13,13,21,0,16,128
