date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-17:46:10,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.005,none,10000,random,5,64,256,0.009896,0.0019792,0.00196899,3.20235e-05,1,0.0025195,25,0,40,dynamic
2026-06-07-17:46:10,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,5,64,256,0.0176024,0.00352048,0.00352363,2.43408e-05,1,0.0034623,70,0,40,dynamic
2026-06-07-17:46:10,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.025,none,10000,random,5,64,256,0.0415945,0.0083189,0.00828183,0.000111197,1,0.00841225,555,0,40,dynamic
2026-06-07-17:46:10,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,5,64,256,0.0880715,0.0176143,0.017577,0.000282737,1,0.0181002,2065,0,40,dynamic
2026-06-07-17:46:10,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,5,64,256,0.207122,0.0414243,0.0413293,0.00053015,1,0.0423315,8553,0,40,dynamic
2026-06-07-17:46:10,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.15,none,10000,random,5,64,256,0.355866,0.0711732,0.071243,0.000897941,1,0.0715957,19064,0,40,dynamic
2026-06-07-17:46:11,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.2,none,10000,random,5,64,256,0.553433,0.110687,0.110622,0.000510368,1,0.112284,33083,0,40,dynamic
2026-06-07-17:46:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.3,none,10000,random,5,64,256,1.06946,0.213892,0.213219,0.00155542,1,0.211753,70814,0,40,dynamic
2026-06-07-17:46:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.005,none,10000,random,5,64,256,0.00858634,0.00171727,0.00172014,2.15462e-05,1,0.00228086,25,0,40,dynamic
2026-06-07-17:46:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.01,none,10000,random,5,64,256,0.0146319,0.00292638,0.00292551,2.54326e-05,1,0.00286577,70,0,40,dynamic
2026-06-07-17:46:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.025,none,10000,random,5,64,256,0.0337258,0.00674516,0.00674938,2.65324e-05,1,0.00667329,555,0,40,dynamic
2026-06-07-17:46:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.05,none,10000,random,5,64,256,0.0720155,0.0144031,0.0144645,0.000109984,1,0.0142696,2065,0,40,dynamic
2026-06-07-17:46:13,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.1,none,10000,random,5,64,256,0.154046,0.0308091,0.0308713,0.000264419,1,0.0305755,8553,0,40,dynamic
2026-06-07-17:46:13,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.15,none,10000,random,5,64,256,0.228497,0.0456995,0.0456616,0.000352389,1,0.0457801,19064,0,40,dynamic
2026-06-07-17:46:13,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.2,none,10000,random,5,64,256,0.302378,0.0604756,0.0603648,0.000420794,1,0.0601474,33083,0,40,dynamic
2026-06-07-17:46:14,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.3,none,10000,random,5,64,256,0.446698,0.0893396,0.0893434,0.000462627,1,0.0892628,70814,0,40,dynamic
2026-06-07-17:46:14,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.005,none,10000,random,5,64,256,0.00824647,0.00164929,0.00165102,1.34186e-05,1,0.00171838,29,0,40,dynamic
2026-06-07-17:46:14,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.01,none,10000,random,5,64,256,0.0156939,0.00313878,0.00314044,1.15653e-05,1,0.00307248,77,0,40,dynamic
2026-06-07-17:46:14,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.025,none,10000,random,5,64,256,0.0360694,0.00721387,0.00721835,2.84867e-05,1,0.00718697,823,0,40,dynamic
2026-06-07-17:46:14,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.05,none,10000,random,5,64,256,0.0879382,0.0175876,0.0175839,9.78647e-05,1,0.0175367,3264,0,40,dynamic
2026-06-07-17:46:14,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.1,none,10000,random,5,64,256,0.226993,0.0453985,0.0454341,0.000159803,1,0.0447911,12690,0,40,dynamic
2026-06-07-17:46:15,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.15,none,10000,random,5,64,256,0.422048,0.0844095,0.0843621,0.000870341,1,0.0841584,27459,0,40,dynamic
2026-06-07-17:46:16,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.2,none,10000,random,5,64,256,0.673925,0.134785,0.134516,0.00118928,1,0.133266,46867,0,40,dynamic
2026-06-07-17:46:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.3,none,10000,random,5,64,256,1.37897,0.275793,0.276911,0.00392376,1,0.276408,99747,0,40,dynamic
2026-06-07-17:46:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.005,none,10000,random,5,64,256,0.00836668,0.00167334,0.00167487,2.70384e-05,1,0.0074677,29,0,40,dynamic
2026-06-07-17:46:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.01,none,10000,random,5,64,256,0.0156038,0.00312076,0.00312924,1.77976e-05,1,0.0030677,77,0,40,dynamic
2026-06-07-17:46:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.025,none,10000,random,5,64,256,0.0344467,0.00688934,0.00690857,5.27964e-05,1,0.00687475,823,0,40,dynamic
2026-06-07-17:46:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.05,none,10000,random,5,64,256,0.0773658,0.0154732,0.0155287,0.000129033,1,0.0152627,3264,0,40,dynamic
