date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-17:04:05,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.25,none,10000,random,5,64,512,0.0659949,0.013199,0.0130562,0.00054751,1,0.0150099,1240,0,40,dynamic
2026-06-07-17:04:05,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000,random,5,64,512,0.135699,0.0271399,0.0272371,0.000450146,1,0.0285605,5020,0,40,dynamic
2026-06-07-17:04:05,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.75,none,10000,random,5,64,512,0.229094,0.0458188,0.0460633,0.00049409,1,0.046351,11343,0,40,dynamic
2026-06-07-17:04:06,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,none,10000,random,5,64,512,0.354414,0.0708829,0.0708186,0.000623508,1,0.071396,20234,0,40,dynamic
2026-06-07-17:04:06,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1.5,none,10000,random,5,64,512,0.704193,0.140839,0.140516,0.000912543,1,0.140163,45657,0,40,dynamic
2026-06-07-17:04:08,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,none,10000,random,5,64,512,1.37194,0.274387,0.276213,0.00332594,1,0.271668,80951,0,40,dynamic
2026-06-07-17:04:12,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,none,10000,random,5,64,512,3.19493,0.638986,0.639319,0.00674508,1,0.636627,179276,0,40,dynamic
2026-06-07-17:04:22,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,5,none,10000,random,5,64,512,8.19703,1.63941,1.63166,0.0212139,1,1.65338,472947,0,40,dynamic
2026-06-07-17:04:22,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,0.25,none,10000,random,5,64,512,0.0548263,0.0109653,0.0109743,4.65948e-05,1,0.011495,1240,0,40,dynamic
2026-06-07-17:04:22,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,0.5,none,10000,random,5,64,512,0.117653,0.0235305,0.023516,0.000133467,1,0.023397,5020,0,40,dynamic
2026-06-07-17:04:22,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,0.75,none,10000,random,5,64,512,0.184574,0.0369147,0.0369016,0.000273916,1,0.0367934,11343,0,40,dynamic
2026-06-07-17:04:22,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,1,none,10000,random,5,64,512,0.255307,0.0510614,0.0509847,0.000238874,1,0.0505534,20234,0,40,dynamic
2026-06-07-17:04:23,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,1.5,none,10000,random,5,64,512,0.405311,0.0810622,0.081108,0.000344005,1,0.0807697,45657,0,40,dynamic
2026-06-07-17:04:24,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,2,none,10000,random,5,64,512,0.560505,0.112101,0.112211,0.000592958,1,0.111931,80951,0,40,dynamic
2026-06-07-17:04:25,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,3,none,10000,random,5,64,512,0.87762,0.175524,0.175606,0.000415616,1,0.174929,179276,0,40,dynamic
2026-06-07-17:04:26,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,5,none,10000,random,5,64,512,1.51977,0.303955,0.304364,0.00183026,1,0.303846,472947,0,40,dynamic
2026-06-07-17:04:27,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.25,none,10000,random,5,64,512,0.0602398,0.012048,0.0120204,9.83492e-05,1,0.0120253,1670,0,40,dynamic
