kernel,radius,mode,get_range_time,loop_time,projectionTime,binarySearchTime,threshold,maxPointsLeaf
sphere,2.000000,none,0,4.1001e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000185061,0.0,0.0,32,256
sphere,2.000000,none,0,0.000112647,0.0,0.0,32,256
sphere,2.000000,none,0,0.000114297,0.0,0.0,32,256
sphere,2.000000,none,0,0.000182024,0.0,0.0,32,256
sphere,2.000000,none,0,0.000127737,0.0,0.0,32,256
sphere,2.000000,none,0,0.000175776,0.0,0.0,32,256
sphere,2.000000,none,0,0.000160043,0.0,0.0,32,256
sphere,2.000000,none,0,0.000145067,0.0,0.0,32,256
sphere,2.000000,none,0,0.000148176,0.0,0.0,32,256
sphere,2.000000,none,0,0.000143751,0.0,0.0,32,256
sphere,2.000000,none,0,0.000180139,0.0,0.0,32,256
sphere,2.000000,none,0,0.000118968,0.0,0.0,32,256
sphere,2.000000,none,0,0.000185344,0.0,0.0,32,256
sphere,2.000000,none,0,0.000174148,0.0,0.0,32,256
sphere,2.000000,none,0,0.000142032,0.0,0.0,32,256
sphere,2.000000,none,0,0.000186594,0.0,0.0,32,256
sphere,2.000000,none,0,0.000178506,0.0,0.0,32,256
sphere,2.000000,none,0,0.000157632,0.0,0.0,32,256
sphere,2.000000,none,0,0.000249658,0.0,0.0,32,256
sphere,2.000000,none,0,0.000149015,0.0,0.0,32,256
sphere,2.000000,none,0,0.000160416,0.0,0.0,32,256
sphere,2.000000,none,0,7.1314e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000179355,0.0,0.0,32,256
sphere,2.000000,none,0,0.000142407,0.0,0.0,32,256
sphere,2.000000,none,0,2.6886e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000101003,0.0,0.0,32,256
sphere,2.000000,none,0,2.2653e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000126558,0.0,0.0,32,256
sphere,2.000000,none,0,0.000147083,0.0,0.0,32,256
sphere,2.000000,none,0,0.000107793,0.0,0.0,32,256
sphere,2.000000,none,0,0.000169073,0.0,0.0,32,256
sphere,2.000000,none,0,0.000165757,0.0,0.0,32,256
sphere,2.000000,none,0,0.000106831,0.0,0.0,32,256
sphere,2.000000,none,0,0.000152319,0.0,0.0,32,256
sphere,2.000000,none,0,0.00012943,0.0,0.0,32,256
sphere,2.000000,none,0,0.000126052,0.0,0.0,32,256
sphere,2.000000,none,0,0.000125798,0.0,0.0,32,256
sphere,2.000000,none,0,0.000127177,0.0,0.0,32,256
sphere,2.000000,none,0,9.6069e-05,0.0,0.0,32,256
sphere,2.000000,none,0,9.6873e-05,0.0,0.0,32,256
sphere,2.000000,none,0,5.4063e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000114129,0.0,0.0,32,256
sphere,2.000000,none,0,0.000141137,0.0,0.0,32,256
sphere,2.000000,none,0,4.069e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000111374,0.0,0.0,32,256
sphere,2.000000,none,0,8.6099e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000130319,0.0,0.0,32,256
sphere,2.000000,none,0,0.000139307,0.0,0.0,32,256
sphere,2.000000,none,0,0.000129,0.0,0.0,32,256
sphere,2.000000,none,0,9.615e-05,0.0,0.0,32,256
sphere,2.000000,none,0,7.1101e-05,0.0,0.0,32,256
sphere,2.000000,none,0,9.8511e-05,0.0,0.0,32,256
sphere,2.000000,none,0,8.4931e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000203644,0.0,0.0,32,256
sphere,2.000000,none,0,0.000118724,0.0,0.0,32,256
sphere,2.000000,none,0,0.00024121,0.0,0.0,32,256
sphere,2.000000,none,0,0.000137751,0.0,0.0,32,256
sphere,2.000000,none,0,0.000125343,0.0,0.0,32,256
sphere,2.000000,none,0,0.000128953,0.0,0.0,32,256
sphere,2.000000,none,0,0.000134609,0.0,0.0,32,256
sphere,2.000000,none,0,0.000101393,0.0,0.0,32,256
sphere,2.000000,none,0,9.5436e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000137515,0.0,0.0,32,256
sphere,2.000000,none,0,0.000126914,0.0,0.0,32,256
sphere,2.000000,none,0,0.000174068,0.0,0.0,32,256
sphere,2.000000,none,0,5.3419e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000104387,0.0,0.0,32,256
sphere,2.000000,none,0,0.000150199,0.0,0.0,32,256
sphere,2.000000,none,0,0.000137713,0.0,0.0,32,256
sphere,2.000000,none,0,0.000148641,0.0,0.0,32,256
sphere,2.000000,none,0,7.2503e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000155798,0.0,0.0,32,256
sphere,2.000000,none,0,0.000127716,0.0,0.0,32,256
sphere,2.000000,none,0,0.000126584,0.0,0.0,32,256
sphere,2.000000,none,0,9.448e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000135834,0.0,0.0,32,256
sphere,2.000000,none,0,0.000116373,0.0,0.0,32,256
sphere,2.000000,none,0,0.000115525,0.0,0.0,32,256
sphere,2.000000,none,0,0.000128541,0.0,0.0,32,256
sphere,2.000000,none,0,0.000117227,0.0,0.0,32,256
sphere,2.000000,none,0,0.000105324,0.0,0.0,32,256
sphere,2.000000,none,0,0.000212643,0.0,0.0,32,256
sphere,2.000000,none,0,0.000163114,0.0,0.0,32,256
sphere,2.000000,none,0,0.000120618,0.0,0.0,32,256
sphere,2.000000,none,0,0.000124666,0.0,0.0,32,256
sphere,2.000000,none,0,0.000148688,0.0,0.0,32,256
sphere,2.000000,none,0,2.2637e-05,0.0,0.0,32,256
sphere,2.000000,none,0,9.4558e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000132518,0.0,0.0,32,256
sphere,2.000000,none,0,0.000152214,0.0,0.0,32,256
sphere,2.000000,none,0,0.000125601,0.0,0.0,32,256
sphere,2.000000,none,0,0.000152813,0.0,0.0,32,256
sphere,2.000000,none,0,7.9785e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000100415,0.0,0.0,32,256
sphere,2.000000,none,0,7.8525e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000182753,0.0,0.0,32,256
sphere,2.000000,none,0,0.00011532,0.0,0.0,32,256
sphere,2.000000,none,0,0.0001257,0.0,0.0,32,256
sphere,2.000000,none,0,0.000150048,0.0,0.0,32,256
sphere,2.000000,none,0,0.000114967,0.0,0.0,32,256
sphere,2.000000,none,0,0.000186284,0.0,0.0,32,256
sphere,2.000000,none,0,0.00016155,0.0,0.0,32,256
sphere,2.000000,none,0,0.000158463,0.0,0.0,32,256
sphere,2.000000,none,0,5.5282e-05,0.0,0.0,32,256
sphere,2.000000,none,0,2.6705e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000129746,0.0,0.0,32,256
sphere,2.000000,none,0,5.3392e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000151902,0.0,0.0,32,256
sphere,2.000000,none,0,0.000124987,0.0,0.0,32,256
sphere,2.000000,none,0,0.000135033,0.0,0.0,32,256
sphere,2.000000,none,0,0.000103609,0.0,0.0,32,256
sphere,2.000000,none,0,0.00013384,0.0,0.0,32,256
sphere,2.000000,none,0,0.000162836,0.0,0.0,32,256
sphere,2.000000,none,0,0.000121492,0.0,0.0,32,256
sphere,2.000000,none,0,0.000109602,0.0,0.0,32,256
sphere,2.000000,none,0,0.00013695,0.0,0.0,32,256
sphere,2.000000,none,0,0.000113219,0.0,0.0,32,256
sphere,2.000000,none,0,9.9451e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000137556,0.0,0.0,32,256
sphere,2.000000,none,0,6.6429e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000131085,0.0,0.0,32,256
sphere,2.000000,none,0,8.7556e-05,0.0,0.0,32,256
sphere,2.000000,none,0,0.000171034,0.0,0.0,32,256
sphere,2.000000,none,0,0.000166213,0.0,0.0,32,256
sphere,2.000000,none,0,0.000129719,0.0,0.0,32,256
sphere,2.000000,none,0,0.000143219,0.0,0.0,32,256
