kernel,radius,mode,get_range_time,loop_time,projectionTime,binarySearchTime,threshold,maxPointsLeaf
sphere,2.000000,polar,0.0,0.0,1.0733e-05,3.8991e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.686e-06,2.9195e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.4342e-05,4.0423e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0436e-05,3.1276e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1669e-05,3.7417e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.313e-06,3.0448e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.624e-06,2.0005e-05,32,256
sphere,2.000000,polar,0.0,0.0,3.134e-06,9.202e-06,32,256
sphere,2.000000,polar,0.0,0.0,6.555e-06,2.0538e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.642e-06,2.9323e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.4467e-05,3.0599e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.171e-05,2.3913e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2116e-05,2.2351e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.889e-06,2.3023e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.087e-06,3.3621e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.692e-06,2.9141e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.8633e-05,4.907e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.294e-05,3.458e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.9292e-05,3.4239e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.7514e-05,4.2039e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1023e-05,2.4844e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.7704e-05,3.6745e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1161e-05,1.8516e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.169e-06,9.761e-06,32,256
sphere,2.000000,polar,0.0,0.0,4.483e-06,6.344e-06,32,256
sphere,2.000000,polar,0.0,0.0,3.127e-06,7.265e-06,32,256
sphere,2.000000,polar,0.0,0.0,7.73e-06,1.3048e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.26e-06,1.1699e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0835e-05,3.1456e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.18e-06,1.6236e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0014e-05,2.8167e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.486e-06,2.1744e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1798e-05,3.6414e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.4245e-05,3.9996e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1092e-05,3.5747e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.646e-06,2.3558e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.726e-06,2.0268e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.901e-06,2.305e-06,32,256
sphere,2.000000,polar,0.0,0.0,4.754e-06,9.937e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.1965e-05,3.4129e-05,32,256
sphere,2.000000,polar,0.0,0.0,3.556e-06,7.677e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.0165e-05,2.7193e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.118e-06,2.159e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.4375e-05,3.9225e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2299e-05,3.1361e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.4803e-05,4.7143e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2386e-05,2.9653e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.818e-06,8.486e-06,32,256
sphere,2.000000,polar,0.0,0.0,3.006e-06,4.362e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.488e-05,3.6048e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.7068e-05,3.5878e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.033e-06,1.6687e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.4781e-05,3.4681e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.681e-06,7.797e-06,32,256
sphere,2.000000,polar,0.0,0.0,4.0412e-05,4.6096e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2747e-05,2.1745e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0009e-05,2.0584e-05,32,256
