date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-15:04:21,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.25,none,10000,random,5,64,512,0.0427237,0.00854473,0.00851413,0.000138793,1,0.00910889,170,0,40,dynamic
2026-06-07-15:04:21,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,5,64,512,0.0856958,0.0171391,0.0171442,9.73988e-05,1,0.0171681,689,0,40,dynamic
2026-06-07-15:04:21,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.75,none,10000,random,5,64,512,0.133796,0.0267591,0.0267569,0.000215612,1,0.0268852,1565,0,40,dynamic
2026-06-07-15:04:21,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,5,64,512,0.184039,0.0368079,0.0366336,0.000310856,1,0.0369554,2806,0,40,dynamic
2026-06-07-15:04:22,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1.5,none,10000,random,5,64,512,0.292518,0.0585035,0.0584811,0.000586742,1,0.0589866,6420,0,40,dynamic
2026-06-07-15:04:22,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,5,64,512,0.405673,0.0811347,0.0808523,0.000706667,1,0.0820663,11588,0,40,dynamic
2026-06-07-15:04:23,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,3,none,10000,random,5,64,512,0.671836,0.134367,0.134034,0.00121839,1,0.136404,26795,0,40,dynamic
2026-06-07-15:04:25,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,5,none,10000,random,5,64,512,1.55928,0.311856,0.311602,0.00134009,1,0.315949,77531,0,40,dynamic
2026-06-07-15:04:25,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.25,none,10000,random,5,64,512,0.0375655,0.00751311,0.00751225,2.89864e-05,1,0.00784397,170,0,40,dynamic
2026-06-07-15:04:25,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.5,none,10000,random,5,64,512,0.0734803,0.0146961,0.0146904,6.06153e-05,1,0.014672,689,0,40,dynamic
2026-06-07-15:04:25,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.75,none,10000,random,5,64,512,0.115532,0.0231064,0.0231046,7.58902e-05,1,0.0230348,1565,0,40,dynamic
2026-06-07-15:04:25,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,1,none,10000,random,5,64,512,0.158756,0.0317512,0.0316861,0.000221897,1,0.0317465,2806,0,40,dynamic
2026-06-07-15:04:25,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,1.5,none,10000,random,5,64,512,0.252388,0.0504775,0.0504841,0.000259642,1,0.0506248,6420,0,40,dynamic
2026-06-07-15:04:26,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,2,none,10000,random,5,64,512,0.34962,0.0699241,0.0699404,0.000383886,1,0.070273,11588,0,40,dynamic
2026-06-07-15:04:27,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,3,none,10000,random,5,64,512,0.558283,0.111657,0.111383,0.000792858,1,0.112348,26795,0,40,dynamic
2026-06-07-15:04:28,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,5,none,10000,random,5,64,512,0.996755,0.199351,0.19911,0.00195978,1,0.202378,77531,0,40,dynamic
2026-06-07-15:04:28,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.25,none,10000,random,5,64,512,0.0367462,0.00734924,0.00736193,4.04137e-05,1,0.0120112,230,0,40,dynamic
2026-06-07-15:04:28,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.5,none,10000,random,5,64,512,0.0750748,0.015015,0.0149871,6.44914e-05,1,0.0149562,935,0,40,dynamic
2026-06-07-15:04:28,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.75,none,10000,random,5,64,512,0.118118,0.0236236,0.0236107,8.41488e-05,1,0.0236232,2133,0,40,dynamic
2026-06-07-15:04:28,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,1,none,10000,random,5,64,512,0.164955,0.0329909,0.0329678,0.0001641,1,0.0329753,3846,0,40,dynamic
2026-06-07-15:04:29,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,1.5,none,10000,random,5,64,512,0.270184,0.0540368,0.0541337,0.00026744,1,0.0539409,8871,0,40,dynamic
2026-06-07-15:04:29,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,2,none,10000,random,5,64,512,0.391625,0.078325,0.0783727,0.000285923,1,0.0782634,16104,0,40,dynamic
2026-06-07-15:04:30,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,3,none,10000,random,5,64,512,0.727254,0.145451,0.145373,0.000427652,1,0.146012,37568,0,40,dynamic
2026-06-07-15:04:32,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,5,none,10000,random,5,64,512,1.82932,0.365863,0.365708,0.00175839,1,0.364395,109232,0,40,dynamic
2026-06-07-15:04:32,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,0.25,none,10000,random,5,64,512,0.0353995,0.00707991,0.00708359,2.58076e-05,1,0.00751963,230,0,40,dynamic
2026-06-07-15:04:32,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,0.5,none,10000,random,5,64,512,0.0718558,0.0143712,0.0143861,6.48656e-05,1,0.0143651,935,0,40,dynamic
2026-06-07-15:04:32,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,0.75,none,10000,random,5,64,512,0.112516,0.0225033,0.0224899,4.62072e-05,1,0.022533,2133,0,40,dynamic
2026-06-07-15:04:33,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,1,none,10000,random,5,64,512,0.156611,0.0313221,0.03125,0.000137186,1,0.031213,3846,0,40,dynamic
2026-06-07-15:04:33,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,1.5,none,10000,random,5,64,512,0.250754,0.0501508,0.0501994,0.000194018,1,0.0499091,8871,0,40,dynamic
2026-06-07-15:04:33,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,2,none,10000,random,5,64,512,0.349453,0.0698907,0.0698767,0.00026975,1,0.0700029,16104,0,40,dynamic
2026-06-07-15:04:34,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,3,none,10000,random,5,64,512,0.564753,0.112951,0.112765,0.000427714,1,0.113361,37568,0,40,dynamic
2026-06-07-15:04:35,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,5,none,10000,random,5,64,512,1.02816,0.205631,0.20574,0.00103034,1,0.205446,109232,0,40,dynamic
2026-06-07-15:04:36,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.25,polar,10000,random,5,64,512,0.0724069,0.0144814,0.0144865,4.63413e-05,1,0.0105689,170,0,40,dynamic
2026-06-07-15:04:36,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,10000,random,5,64,512,0.0898154,0.0179631,0.0179989,7.29081e-05,1,0.0183697,689,0,40,dynamic
2026-06-07-15:04:37,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.75,polar,10000,random,5,64,512,0.139093,0.0278185,0.0287993,0.00198729,1,0.028635,1565,0,40,dynamic
2026-06-07-15:04:37,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1,polar,10000,random,5,64,512,0.138457,0.0276914,0.0277072,0.000103978,1,0.0276512,2806,0,40,dynamic
2026-06-07-15:04:37,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1.5,polar,10000,random,5,64,512,0.235124,0.0470247,0.0470134,0.000453396,1,0.0474917,6420,0,40,dynamic
2026-06-07-15:04:37,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,2,polar,10000,random,5,64,512,0.338873,0.0677747,0.0678609,0.000449004,1,0.0683209,11588,0,40,dynamic
2026-06-07-15:04:38,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,3,polar,10000,random,5,64,512,0.595182,0.119036,0.118895,0.000746036,1,0.120636,26795,0,40,dynamic
2026-06-07-15:04:40,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,5,polar,10000,random,5,64,512,1.475,0.295,0.295067,0.00129715,1,0.298046,77531,0,40,dynamic
2026-06-07-15:04:40,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.25,polar,10000,random,5,64,512,0.0214004,0.00428007,0.00430073,4.13754e-05,1,0.00471241,170,0,40,dynamic
2026-06-07-15:04:40,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.5,polar,10000,random,5,64,512,0.0502412,0.0100482,0.0100567,3.92126e-05,1,0.010014,689,0,40,dynamic
2026-06-07-15:04:40,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.75,polar,10000,random,5,64,512,0.0850116,0.0170023,0.0169699,6.56144e-05,1,0.0169161,1565,0,40,dynamic
2026-06-07-15:04:40,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,1,polar,10000,random,5,64,512,0.122768,0.0245536,0.0245957,9.41908e-05,1,0.0244804,2806,0,40,dynamic
2026-06-07-15:04:40,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,1.5,polar,10000,random,5,64,512,0.205513,0.0411026,0.0411545,0.000195217,1,0.0410231,6420,0,40,dynamic
2026-06-07-15:04:41,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,2,polar,10000,random,5,64,512,0.293354,0.0586708,0.0586153,0.000226114,1,0.058885,11588,0,40,dynamic
2026-06-07-15:04:41,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,3,polar,10000,random,5,64,512,0.485448,0.0970896,0.0969509,0.000741697,1,0.0979907,26795,0,40,dynamic
2026-06-07-15:04:42,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,5,polar,10000,random,5,64,512,0.901825,0.180365,0.180237,0.00140829,1,0.182862,77531,0,40,dynamic
2026-06-07-15:04:43,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.25,polar,10000,random,5,64,512,0.025416,0.0050832,0.00509939,2.62144e-05,1,0.0052097,230,0,40,dynamic
2026-06-07-15:04:43,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.5,polar,10000,random,5,64,512,0.0616929,0.0123386,0.0123643,5.50145e-05,1,0.0123168,935,0,40,dynamic
2026-06-07-15:04:43,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.75,polar,10000,random,5,64,512,0.104285,0.0208571,0.0208457,3.47479e-05,1,0.0208733,2133,0,40,dynamic
2026-06-07-15:04:43,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,1,polar,10000,random,5,64,512,0.152386,0.0304771,0.0304791,9.32896e-05,1,0.0303603,3846,0,40,dynamic
2026-06-07-15:04:43,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,1.5,polar,10000,random,5,64,512,0.272293,0.0544587,0.0523479,0.00289303,1,0.0521351,8871,0,40,dynamic
2026-06-07-15:04:44,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,2,polar,10000,random,5,64,512,0.387925,0.077585,0.0774653,0.000362587,1,0.0780309,16104,0,40,dynamic
2026-06-07-15:04:45,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,3,polar,10000,random,5,64,512,0.742281,0.148456,0.148468,0.000735396,1,0.148342,37568,0,40,dynamic
2026-06-07-15:04:47,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,5,polar,10000,random,5,64,512,1.8567,0.37134,0.370857,0.00113232,1,0.374463,109232,0,40,dynamic
2026-06-07-15:04:47,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,0.25,polar,10000,random,5,64,512,0.0249913,0.00499826,0.00500533,2.29261e-05,1,0.0055239,230,0,40,dynamic
2026-06-07-15:04:47,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,0.5,polar,10000,random,5,64,512,0.0594389,0.0118878,0.0118868,3.32507e-05,1,0.0118621,935,0,40,dynamic
2026-06-07-15:04:47,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,0.75,polar,10000,random,5,64,512,0.0993283,0.0198657,0.0198831,7.03638e-05,1,0.0197803,2133,0,40,dynamic
2026-06-07-15:04:47,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,1,polar,10000,random,5,64,512,0.143485,0.028697,0.0287165,0.000108763,1,0.0286525,3846,0,40,dynamic
2026-06-07-15:04:47,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,1.5,polar,10000,random,5,64,512,0.238655,0.047731,0.0477925,0.000163846,1,0.047544,8871,0,40,dynamic
2026-06-07-15:04:48,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,2,polar,10000,random,5,64,512,0.340165,0.0680331,0.0680945,0.000266378,1,0.068266,16104,0,40,dynamic
2026-06-07-15:04:49,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,3,polar,10000,random,5,64,512,0.559648,0.11193,0.111928,0.000577828,1,0.112575,37568,0,40,dynamic
2026-06-07-15:04:50,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,5,polar,10000,random,5,64,512,1.03726,0.207452,0.206987,0.00122408,1,0.208441,109232,0,40,dynamic
2026-06-07-15:04:52,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.25,cartesian,10000,random,5,64,512,0.0669759,0.0133952,0.0143648,0.00197779,1,0.0123023,170,0,40,dynamic
2026-06-07-15:04:53,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.5,cartesian,10000,random,5,64,512,0.0898709,0.0179742,0.0180002,5.34447e-05,1,0.0190489,689,0,40,dynamic
2026-06-07-15:04:53,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.75,cartesian,10000,random,5,64,512,0.104902,0.0209804,0.0238441,0.00401174,1,0.0237717,1565,0,40,dynamic
2026-06-07-15:04:53,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1,cartesian,10000,random,5,64,512,0.0961006,0.0192201,0.0192212,4.40063e-05,1,0.0191697,2806,0,40,dynamic
2026-06-07-15:04:53,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1.5,cartesian,10000,random,5,64,512,0.159052,0.0318103,0.0318292,5.47084e-05,1,0.0319388,6420,0,40,dynamic
2026-06-07-15:04:53,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,2,cartesian,10000,random,5,64,512,0.232935,0.0465869,0.0465301,0.000135216,1,0.0466652,11588,0,40,dynamic
2026-06-07-15:04:54,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,3,cartesian,10000,random,5,64,512,0.433207,0.0866413,0.086582,0.000406508,1,0.0871272,26795,0,40,dynamic
2026-06-07-15:04:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,5,cartesian,10000,random,5,64,512,1.28142,0.256284,0.256235,0.00105218,1,0.254846,77531,0,40,dynamic
2026-06-07-15:04:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.25,cartesian,10000,random,5,64,512,0.0233345,0.00466691,0.00466293,1.22463e-05,1,0.00512322,230,0,40,dynamic
2026-06-07-15:04:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.5,cartesian,10000,random,5,64,512,0.047207,0.00944141,0.00944793,2.16654e-05,1,0.00938568,935,0,40,dynamic
2026-06-07-15:04:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.75,cartesian,10000,random,5,64,512,0.0746149,0.014923,0.014912,3.73112e-05,1,0.01503,2133,0,40,dynamic
2026-06-07-15:04:56,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,1,cartesian,10000,random,5,64,512,0.104933,0.0209866,0.0209714,5.38427e-05,1,0.0210055,3846,0,40,dynamic
2026-06-07-15:04:56,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,1.5,cartesian,10000,random,5,64,512,0.175092,0.0350184,0.0350217,0.000110084,1,0.0351496,8871,0,40,dynamic
2026-06-07-15:04:56,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,2,cartesian,10000,random,5,64,512,0.254223,0.0508445,0.0507718,0.000165576,1,0.0510127,16104,0,40,dynamic
2026-06-07-15:04:57,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,3,cartesian,10000,random,5,64,512,0.469494,0.0938988,0.0937666,0.000543153,1,0.0942828,37568,0,40,dynamic
2026-06-07-15:04:58,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,5,cartesian,10000,random,5,64,512,1.36743,0.273486,0.273616,0.00172796,1,0.273938,109232,0,40,dynamic
2026-06-07-15:05:21,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.25,none,10000,random,5,64,512,0.0390548,0.00781096,0.00782163,0.00012987,1,0.00797759,170,0,40,dynamic
2026-06-07-15:05:21,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,5,64,512,0.0788977,0.0157795,0.0158035,8.21608e-05,1,0.0157958,691,0,40,dynamic
2026-06-07-15:05:21,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.75,none,10000,random,5,64,512,0.124248,0.0248496,0.0249353,0.000248786,1,0.0249009,1568,0,40,dynamic
2026-06-07-15:05:22,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,5,64,512,0.171418,0.0342837,0.0342934,0.000247656,1,0.034314,2811,0,40,dynamic
2026-06-07-15:05:22,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1.5,none,10000,random,5,64,512,0.273359,0.0546718,0.0547415,0.000488091,1,0.0550882,6431,0,40,dynamic
2026-06-07-15:05:22,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,5,64,512,0.377057,0.0754114,0.0756825,0.000686541,1,0.076962,11605,0,40,dynamic
2026-06-07-15:05:23,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,3,none,10000,random,5,64,512,0.629222,0.125844,0.12648,0.00119671,1,0.128201,26823,0,40,dynamic
2026-06-07-15:05:25,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,5,none,10000,random,5,64,512,1.52191,0.304383,0.304834,0.00259954,1,0.305439,77460,0,40,dynamic
2026-06-07-15:05:25,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,0.25,none,10000,random,5,64,512,0.0329087,0.00658173,0.0065899,3.0163e-05,1,0.00715913,170,0,40,dynamic
2026-06-07-15:05:25,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,0.5,none,10000,random,5,64,512,0.0651271,0.0130254,0.0130288,4.90121e-05,1,0.0129944,691,0,40,dynamic
2026-06-07-15:05:25,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,0.75,none,10000,random,5,64,512,0.102724,0.0205448,0.0205686,0.000121086,1,0.0204514,1568,0,40,dynamic
2026-06-07-15:05:25,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,1,none,10000,random,5,64,512,0.142192,0.0284385,0.0284567,0.000109733,1,0.0284641,2811,0,40,dynamic
2026-06-07-15:05:26,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,1.5,none,10000,random,5,64,512,0.226508,0.0453016,0.0453686,0.000208496,1,0.0453522,6431,0,40,dynamic
2026-06-07-15:05:26,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,2,none,10000,random,5,64,512,0.314186,0.0628373,0.062894,0.000250581,1,0.0628374,11605,0,40,dynamic
2026-06-07-15:05:27,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,3,none,10000,random,5,64,512,0.504747,0.100949,0.101174,0.000516573,1,0.101393,26823,0,40,dynamic
2026-06-07-15:05:28,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,5,none,10000,random,5,64,512,0.907687,0.181537,0.182519,0.0015918,1,0.182996,77460,0,40,dynamic
2026-06-07-15:05:28,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,0.25,none,10000,random,5,64,512,0.032615,0.00652299,0.00653433,3.64125e-05,1,0.00656267,231,0,40,dynamic
2026-06-07-15:05:28,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,0.5,none,10000,random,5,64,512,0.0673393,0.0134679,0.0134639,2.49032e-05,1,0.0134793,937,0,40,dynamic
2026-06-07-15:05:28,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,0.75,none,10000,random,5,64,512,0.106893,0.0213785,0.0214228,8.83529e-05,1,0.0212646,2137,0,40,dynamic
2026-06-07-15:05:28,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,1,none,10000,random,5,64,512,0.150402,0.0300803,0.0300776,3.24949e-05,1,0.0300532,3851,0,40,dynamic
2026-06-07-15:05:28,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,1.5,none,10000,random,5,64,512,0.248322,0.0496644,0.049593,0.000158705,1,0.0495928,8892,0,40,dynamic
2026-06-07-15:05:29,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,2,none,10000,random,5,64,512,0.367554,0.0735109,0.0732939,0.000656173,1,0.0730902,16143,0,40,dynamic
2026-06-07-15:05:30,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,3,none,10000,random,5,64,512,0.704316,0.140863,0.140732,0.000501611,1,0.14146,37601,0,40,dynamic
2026-06-07-15:05:32,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,5,none,10000,random,5,64,512,1.92387,0.384774,0.385997,0.00322556,1,0.394736,109065,0,40,dynamic
2026-06-07-15:05:32,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,cube,0.25,none,10000,random,5,64,512,0.0316505,0.0063301,0.00633606,2.07078e-05,1,0.00701607,231,0,40,dynamic
