date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,treshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-05-13-13:53:16,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,none,50000,random,5,16,512,0.283609,0.0567217,0.0565936,0.000857196,1,0.0590061,465,0,40,dynamic
2026-05-13-13:53:17,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,none,50000,random,5,16,512,1.52734,0.305469,0.303227,0.00631764,1,0.327144,12961,0,40,dynamic
2026-05-13-13:53:22,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,none,50000,random,5,16,512,4.03217,0.806434,0.800984,0.0086042,1,0.821754,51468,0,40,dynamic
2026-05-13-13:53:38,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.2,none,50000,random,5,16,512,13.1824,2.63649,2.62946,0.014766,1,2.64555,195439,0,40,dynamic
2026-05-13-13:53:38,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.01,none,50000,random,5,16,512,0.25655,0.05131,0.0512628,0.000211253,1,0.0522555,538,0,40,dynamic
2026-05-13-13:53:40,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.05,none,50000,random,5,16,512,1.54198,0.308395,0.307622,0.00147428,1,0.309901,17828,0,40,dynamic
2026-05-13-13:53:46,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.1,none,50000,random,5,16,512,4.59621,0.919241,0.919516,0.00419823,1,0.920797,68325,0,40,dynamic
2026-05-13-13:54:05,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.2,none,50000,random,5,16,512,15.7759,3.15517,3.15142,0.014513,1,3.16411,251561,0,40,dynamic
2026-05-13-13:54:06,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,polar,50000,random,5,16,512,0.313035,0.0626071,0.0626698,0.000196663,1,0.0626733,465,0,40,dynamic
2026-05-13-13:54:09,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,polar,50000,random,5,16,512,2.29241,0.458482,0.454416,0.00781296,1,0.478694,12961,0,40,dynamic
2026-05-13-13:54:16,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,polar,50000,random,5,16,512,5.91632,1.18326,1.17581,0.0109798,1,1.21336,51468,0,40,dynamic
2026-05-13-13:54:36,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.2,polar,50000,random,5,16,512,16.6963,3.33925,3.32058,0.0250079,1,3.38258,195439,0,40,dynamic
2026-05-13-13:54:37,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.01,polar,50000,random,5,16,512,0.375423,0.0750845,0.0750734,0.000327118,1,0.0765377,538,0,40,dynamic
2026-05-13-13:54:40,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.05,polar,50000,random,5,16,512,2.75783,0.551565,0.549806,0.00334946,1,0.556785,17828,0,40,dynamic
2026-05-13-13:54:49,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.1,polar,50000,random,5,16,512,7.32887,1.46577,1.46575,0.00825324,1,1.48245,68325,0,40,dynamic
2026-05-13-13:55:13,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.2,polar,50000,random,5,16,512,20.2928,4.05855,4.0467,0.0195369,1,4.07866,251561,0,40,dynamic
2026-05-13-13:55:18,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,cartesian,50000,random,5,16,512,0.256713,0.0513425,0.0511421,0.000479631,1,0.0539116,465,0,40,dynamic
2026-05-13-13:55:21,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,cartesian,50000,random,5,16,512,2.63307,0.526614,0.523029,0.00724741,1,0.562328,12961,0,40,dynamic
2026-05-13-13:55:29,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,cartesian,50000,random,5,16,512,6.92796,1.38559,1.37808,0.0150276,1,1.41746,51468,0,40,dynamic
2026-05-13-13:55:53,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.2,cartesian,50000,random,5,16,512,19.8633,3.97266,3.95433,0.0295685,1,3.97658,195439,0,40,dynamic
2026-05-13-13:55:53,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.01,cartesian,50000,random,5,16,512,0.230256,0.0460512,0.0460712,0.000155151,1,0.0470242,538,0,40,dynamic
2026-05-13-13:55:56,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.05,cartesian,50000,random,5,16,512,2.14747,0.429493,0.429072,0.00172853,1,0.433328,17828,0,40,dynamic
2026-05-13-13:56:04,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.1,cartesian,50000,random,5,16,512,6.19907,1.23981,1.23493,0.00710743,1,1.24719,68325,0,40,dynamic
2026-05-13-13:56:28,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.2,cartesian,50000,random,5,16,512,20.2221,4.04442,4.03704,0.0294936,1,4.0027,251561,0,40,dynamic
2026-05-13-13:56:56,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.01,none,50000,random,5,16,512,0.279737,0.0559475,0.0559931,0.000854763,1,0.0579912,463,0,40,dynamic
2026-05-13-13:56:58,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.05,none,50000,random,5,16,512,1.48032,0.296065,0.294517,0.00690284,1,0.314363,12912,0,40,dynamic
2026-05-13-13:57:03,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.1,none,50000,random,5,16,512,3.94963,0.789926,0.787115,0.0077742,1,0.800021,51333,0,40,dynamic
2026-05-13-13:57:21,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.2,none,50000,random,5,16,512,15.0974,3.01949,3.00676,0.0202595,1,3.05083,195430,0,40,dynamic
2026-05-13-13:57:21,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.01,none,50000,random,5,16,512,0.253511,0.0507022,0.0506622,0.000199467,1,0.0515194,536,0,40,dynamic
2026-05-13-13:57:23,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.05,none,50000,random,5,16,512,1.46818,0.293637,0.29276,0.00165392,1,0.293538,17763,0,40,dynamic
2026-05-13-13:57:28,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.1,none,50000,random,5,16,512,4.55817,0.911634,0.907485,0.00614665,1,0.91348,68218,0,40,dynamic
2026-05-13-13:57:50,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.2,none,50000,random,5,16,512,18.3574,3.67148,3.66518,0.00942037,1,3.66423,251611,0,40,dynamic
2026-05-13-13:57:52,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.01,polar,50000,random,5,16,512,0.310753,0.0621506,0.062212,0.000197364,1,0.0622343,463,0,40,dynamic
2026-05-13-13:57:55,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.05,polar,50000,random,5,16,512,2.23819,0.447639,0.446034,0.00786451,1,0.466539,12912,0,40,dynamic
2026-05-13-13:58:02,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.1,polar,50000,random,5,16,512,5.71976,1.14395,1.1381,0.0123765,1,1.16288,51333,0,40,dynamic
2026-05-13-13:58:24,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.2,polar,50000,random,5,16,512,18.5407,3.70814,3.69882,0.0222544,1,3.72632,195430,0,40,dynamic
