date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,treshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-05-13-13:35:45,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.01,none,50000,random,5,16,256,0.174825,0.034965,0.034984,0.000216865,1,0.0345128,463,0,40,dynamic
2026-05-13-13:35:47,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.05,none,50000,random,5,16,256,1.00888,0.201775,0.201956,0.00409593,1,0.21237,12912,0,40,dynamic
2026-05-13-13:35:50,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.1,none,50000,random,5,16,256,3.00006,0.600012,0.599113,0.00467577,1,0.609006,51333,0,40,dynamic
2026-05-13-13:36:07,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.2,none,50000,random,5,16,256,13.5914,2.71828,2.7126,0.0153256,1,2.70591,195430,0,40,dynamic
2026-05-13-13:36:07,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.01,none,50000,random,5,16,256,0.172807,0.0345614,0.0345223,0.000158182,1,0.0354794,536,0,40,dynamic
2026-05-13-13:36:08,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.05,none,50000,random,5,16,256,1.05789,0.211578,0.211047,0.00155811,1,0.213102,17763,0,40,dynamic
2026-05-13-13:36:13,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.1,none,50000,random,5,16,256,3.77898,0.755795,0.752868,0.00502089,1,0.755332,68218,0,40,dynamic
2026-05-13-13:36:33,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.2,none,50000,random,5,16,256,17.3505,3.47011,3.46407,0.0125121,1,3.46332,251611,0,40,dynamic
2026-05-13-13:36:35,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.01,polar,50000,random,5,16,256,0.236336,0.0472672,0.0470309,0.000870744,1,0.05231,463,0,40,dynamic
2026-05-13-13:36:37,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.05,polar,50000,random,5,16,256,1.56935,0.31387,0.313683,0.00455777,1,0.321247,12912,0,40,dynamic
2026-05-13-13:36:41,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.1,polar,50000,random,5,16,256,3.49805,0.69961,0.697791,0.00579575,1,0.706672,51333,0,40,dynamic
2026-05-13-13:36:57,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.2,polar,50000,random,5,16,256,13.108,2.62161,2.61966,0.0050932,1,2.61556,195430,0,40,dynamic
2026-05-13-13:36:57,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.01,polar,50000,random,5,16,256,0.308519,0.0617038,0.0616697,0.000310676,1,0.0617788,536,0,40,dynamic
2026-05-13-13:37:00,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.05,polar,50000,random,5,16,256,1.87682,0.375363,0.375647,0.00111416,1,0.375374,17763,0,40,dynamic
2026-05-13-13:37:05,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.1,polar,50000,random,5,16,256,4.29384,0.858769,0.855516,0.00547218,1,0.860689,68218,0,40,dynamic
2026-05-13-13:37:25,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.2,polar,50000,random,5,16,256,16.9117,3.38233,3.36655,0.0297907,1,3.34977,251611,0,40,dynamic
2026-05-13-13:37:29,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.01,cartesian,50000,random,5,16,256,0.199873,0.0399746,0.0401293,0.000859392,1,0.0498279,463,0,40,dynamic
2026-05-13-13:37:32,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.05,cartesian,50000,random,5,16,256,1.86601,0.373202,0.37351,0.00500183,1,0.383541,12912,0,40,dynamic
2026-05-13-13:37:36,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.1,cartesian,50000,random,5,16,256,4.11343,0.822686,0.825082,0.00817941,1,0.82831,51333,0,40,dynamic
2026-05-13-13:37:53,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.2,cartesian,50000,random,5,16,256,13.903,2.78059,2.76835,0.0197677,1,2.77922,195430,0,40,dynamic
2026-05-13-13:37:53,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.01,cartesian,50000,random,5,16,256,0.165716,0.0331433,0.0331183,0.000127874,1,0.033387,536,0,40,dynamic
2026-05-13-13:37:55,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.05,cartesian,50000,random,5,16,256,1.55281,0.310562,0.310575,0.00194548,1,0.310649,17763,0,40,dynamic
2026-05-13-13:38:00,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.1,cartesian,50000,random,5,16,256,3.935,0.787,0.787405,0.00475059,1,0.783987,68218,0,40,dynamic
2026-05-13-13:38:21,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.2,cartesian,50000,random,5,16,256,17.3564,3.47127,3.46641,0.00962648,1,3.48008,251611,0,40,dynamic
