date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,treshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-05-13-13:45:32,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,none,50000,random,5,8,512,0.28341,0.056682,0.0568885,0.00084037,1,0.0589131,465,0,40,dynamic
2026-05-13-13:45:34,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,none,50000,random,5,8,512,1.60218,0.320437,0.317329,0.00788685,1,0.359814,12961,0,40,dynamic
2026-05-13-13:45:40,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,none,50000,random,5,8,512,4.38643,0.877285,0.873727,0.00504305,1,0.890683,51468,0,40,dynamic
2026-05-13-13:45:59,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.2,none,50000,random,5,8,512,15.7556,3.15113,3.13335,0.0331906,1,3.18866,195439,0,40,dynamic
2026-05-13-13:45:59,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.01,none,50000,random,5,8,512,0.256712,0.0513425,0.0512975,0.000177673,1,0.0523089,538,0,40,dynamic
2026-05-13-13:46:01,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.05,none,50000,random,5,8,512,1.63519,0.327039,0.326503,0.00155351,1,0.3295,17828,0,40,dynamic
2026-05-13-13:46:07,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.1,none,50000,random,5,8,512,5.19767,1.03953,1.03604,0.00476228,1,1.03921,68325,0,40,dynamic
2026-05-13-13:46:30,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.2,none,50000,random,5,8,512,18.7683,3.75366,3.75521,0.0172374,1,3.75634,251561,0,40,dynamic
2026-05-13-13:46:31,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,polar,50000,random,5,8,512,0.30895,0.06179,0.0614387,0.00100879,1,0.0667529,465,0,40,dynamic
2026-05-13-13:46:34,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,polar,50000,random,5,8,512,2.21935,0.44387,0.440373,0.00798271,1,0.464725,12961,0,40,dynamic
2026-05-13-13:46:40,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,polar,50000,random,5,8,512,5.27104,1.05421,1.04634,0.0115956,1,1.08039,51468,0,40,dynamic
2026-05-13-13:46:58,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.2,polar,50000,random,5,8,512,15.021,3.0042,2.98923,0.0210283,1,3.02755,195439,0,40,dynamic
2026-05-13-13:46:59,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.01,polar,50000,random,5,8,512,0.37879,0.0757581,0.0757713,0.000219942,1,0.0762503,538,0,40,dynamic
2026-05-13-13:47:02,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.05,polar,50000,random,5,8,512,2.68847,0.537693,0.537902,0.00127414,1,0.539796,17828,0,40,dynamic
2026-05-13-13:47:10,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.1,polar,50000,random,5,8,512,6.70652,1.3413,1.34155,0.00390441,1,1.33304,68325,0,40,dynamic
2026-05-13-13:47:33,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.2,polar,50000,random,5,8,512,19.1733,3.83466,3.83248,0.0206163,1,3.79621,251561,0,40,dynamic
2026-05-13-13:47:38,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,cartesian,50000,random,5,8,512,0.248023,0.0496046,0.0494891,0.000894629,1,0.056277,465,0,40,dynamic
2026-05-13-13:47:41,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,cartesian,50000,random,5,8,512,2.53405,0.506809,0.504309,0.00412959,1,0.566465,12961,0,40,dynamic
2026-05-13-13:47:49,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,cartesian,50000,random,5,8,512,6.41216,1.28243,1.27365,0.0174566,1,1.34682,51468,0,40,dynamic
2026-05-13-13:48:13,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.2,cartesian,50000,random,5,8,512,20.4109,4.08219,4.05803,0.0374205,1,4.13929,195439,0,40,dynamic
2026-05-13-13:48:13,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.01,cartesian,50000,random,5,8,512,0.207754,0.0415508,0.0415808,0.000118484,1,0.0421101,538,0,40,dynamic
2026-05-13-13:48:16,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.05,cartesian,50000,random,5,8,512,1.94761,0.389522,0.389024,0.00157181,1,0.392261,17828,0,40,dynamic
2026-05-13-13:48:23,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.1,cartesian,50000,random,5,8,512,5.86963,1.17393,1.17525,0.00703277,1,1.1783,68325,0,40,dynamic
2026-05-13-13:48:47,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,cube,0.2,cartesian,50000,random,5,8,512,20.3634,4.07268,4.07,0.011534,1,4.05306,251561,0,40,dynamic
2026-05-13-13:49:16,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.01,none,50000,random,5,8,512,0.255793,0.0511585,0.0512473,0.000721742,1,0.0513292,463,0,40,dynamic
2026-05-13-13:49:17,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.05,none,50000,random,5,8,512,1.35498,0.270997,0.27012,0.00666172,1,0.288751,12912,0,40,dynamic
2026-05-13-13:49:22,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.1,none,50000,random,5,8,512,3.54855,0.709709,0.708777,0.00718401,1,0.723288,51333,0,40,dynamic
2026-05-13-13:49:40,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,sphere,0.2,none,50000,random,5,8,512,15.3498,3.06997,3.06628,0.00693286,1,3.06743,195430,0,40,dynamic
2026-05-13-13:49:40,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.01,none,50000,random,5,8,512,0.23074,0.0461481,0.0461607,0.000101321,1,0.047272,536,0,40,dynamic
2026-05-13-13:49:42,linOct,PointsAoS,HilbertEncoder3D,73923965,neighborsPrune,cube,0.05,none,50000,random,5,8,512,1.34258,0.268517,0.268149,0.00195247,1,0.268757,17763,0,40,dynamic
